NM_VOTAVEL,DS_CARGO,QT_VOTOS
MAX ALEXANDRE SILVA,Vereador,730
SOLANGE LOPES PEREIRA DE SOUZA,Vereador,541
ROSILENE MARIA SOARES LOPES,Vereador,256
MARCOS ANTONIO MARQUES,Vereador,466
RONIVON ALVES DE SOUZA,Vereador,438
VALDILAI ESCOCIA DE OLIVEIRA,Vereador,809
VALÉRIA PEREIRA BATISTA DE JESUS,Vereador,1358
GRECIA MARIA ALVES FARIA,Vereador,755
VINICIUS PEREIRA DA SILVA,Vereador,929
HERICA ALVARENGA,Vereador,559
VANESSA CARDOSO BORGES,Vereador,1201
BRUNO MACHADO NUNES,Vereador,364
GERALDO EMILSON SIVIRINO,Vereador,235
ROBERTO CARLOS CARNEIRO,Vereador,383
FERNANDO RODRIGUES CALDAS,Vereador,740
ELIZETE MARIA DE SOUZA,Vereador,265
PERICLE MAZZI FILHO,Vereador,1099
JOSE REIS RODRIGUES,Vereador,191
FÁBIO DA ROCHA BENEDITO FILHO,Vereador,235
JOSÉ LEANDRO PEREIRA DE CARVALHO,Vereador,336
ELIANE TEIXEIRA DA SILVA,Vereador,365
WLADIMIR ANTONIO CANUTO,Vereador,207
FÁBIO LUIZ RAMOS DA SILVA,Vereador,244
MADALENA CONCEICAO RODRIGUES DIAS,Vereador,398
MARCIO MANOEL MAIA VICENTE,Vereador,460
SINVAL RIBEIRO DE OLIVEIRA JUNIOR,Vereador,261
JOSÉ GERALDO DA CUNHA,Vereador,1929
NEURIVAL PEREIRA DE ANDRADE,Vereador,290
DARCIO SILVA NETO,Vereador,261
AILDO MENDES DE FREITAS,Vereador,245
JOSE MARIA VIANA,Vereador,253
FARLE ADAIR DA SILVA,Vereador,234
OSVALDO ALAIR ALVES JUNIOR,Vereador,519
SALMO DE SOUZA ALVES,Vereador,278
SAULO DOMINGOS CARULINO,Vereador,185
VALDIR GONÇALVES DE SOUZA,Vereador,204
DARLEI SILVA DOS SANTOS,Vereador,185
RICARDO BORGES RIBEIRO,Vereador,546
VALTER MOURA DE AGUIAR,Vereador,263
CHARLES FERRAZ DA ROCHA,Vereador,290
JARBAS AZEVEDO FILHO,Vereador,1507
HIGINO LOPES PEREIRA NETO,Vereador,261
JOSÉ GERALDO BOARETO SANTOS,Vereador,356
DELCIMAR FRANÇA OLIVEIRA,Vereador,364
ALEXSANDRO MESQUITA DE ASSUNÇÃO,Vereador,195
JOAO RIBEIRO FILHO,Vereador,276
JORGE HENRIQUE DE ARAUJO LANINI,Vereador,274
GEOVANI DE ALMEIDA GONCALVES,Vereador,286
MARCUS VINÍCIUS DIAS,Vereador,203
RUDSON FAGUNDES DE OLIVEIRA,Vereador,511
ENES CANDIDO DAMACENA JUNIOR,Vereador,5178
EDIVALDO CARDOSO DIAS,Vereador,213
NELSON APARECIDO DE OLIVEIRA,Vereador,556
MARIA ANIDIA DE PAULA,Vereador,615
RANDERSON RIBEIRO,Vereador,579
SAMUEL CARLOS RODRIGUES,Vereador,384
WAGNER JOSÉ LEAL,Vereador,384
WILLIAM SANTOS MENDES,Vereador,364
REGINA APARECIDA ALVES,Vereador,471
PAULO ROBERTO CASSETTE JUNIOR,Vereador,201
GILMAR ANTONIO DA SILVA,Vereador,329
JOAO FERNANDO DE SOUZA,Vereador,692
CLAUDIO HENRIQUE VIEIRA,Vereador,325
CLAUDINEI BATISTA ROSA,Vereador,453
RONILDO JOSE TOLEDO,Vereador,376
ALEXANDER BORGES DE SOUZA,Vereador,302
MARCOS VINICIUS RIBEIRO DA SILVA,Vereador,283
VALDIRENE TEIXEIRA GOULART RIBEIRO,Vereador,470
RONALDO RAMOS DA SILVA,Vereador,268
GLEITON EVANGELISTA ANDRADE,Vereador,323
NIVEO WANDER ALVES COUTINHO,Vereador,287
TANIA DE OLIVEIRA COSTA,Vereador,470
ALEXANDRE BRAGA SOARES,Vereador,1865
AMARIN ISRAEL DA SILVA,Vereador,210
JOSE ERALDO ESTEVÃO,Vereador,127
CARLOS EDUARDO ALVES SILVA,Vereador,580
BRUNO HENRIQUE FERREIRA DA CUNHA,Vereador,480
NORBERTO LEANDRO MARQUES DA SILVA,Vereador,877
TARCISO GERALDO DA SILVA,Vereador,508
ADRIEDSON GERALDO MARQUES,Vereador,303
OLIVIA TEODORO DOS SANTOS LIMA,Vereador,246
ROGERIO REIS DA SILVA,Vereador,275
CARLOS MOISES DE MELO,Vereador,241
WANDERLEY TAVARES DE MIRA,Vereador,324
VALDECIR SEVERINO DE SÁ,Vereador,430
RAFAEL DE ALMEIDA JACO,Vereador,266
ROBERTO GUIMARÃES,Vereador,146
VALTER ALVES LOPES,Vereador,703
ANGELO FERREIRA DE OLIVEIRA,Vereador,340
FLÁVIO FABULO LUCIO,Vereador,369
CARLOS ROBERTO MEDEIROS VIEIRA,Vereador,489
CRISTIANE LOPES GUERRA TAVARES,Vereador,875
JOÃO FRANCISCO BASTOS,Vereador,2009
JOSÉ TONACO DA SILVA NETO,Vereador,283
EUGENIO DONIZETI DE FREITAS,Vereador,516
HELENO VIEIRA DOS SANTOS,Vereador,485
NEIDSON DIAS FREITAS,Vereador,2133
ANTONIO CARVALHO DE OLIVEIRA,Vereador,632
IGOR JÚNIOR DA SILVA,Vereador,909
SERGIO CARDOSO DA SILVA,Vereador,261
CRISTIANO PEREIRA COSTA,Vereador,341
