NM_VOTAVEL,DS_CARGO,QT_VOTOS
MARCLENIO FERRAZ DA ROCHA,PREFEITO,2194
MARIA CECILIA MARCHI BORGES,PREFEITO,15717
EDSON VARGAS DIAS,PREFEITO,1954
JUAREZ DA SILVA LIMA,PREFEITO,2210
GILMAR RODRIGUES DE OLIVEIRA,PREFEITO,3250
GERALDO MARTINS DE FREITAS,PREFEITO,1588
HELCIO NOGUEIRA,PREFEITO,1519
ESTEVAM DE ASSIS BARREIROS,PREFEITO,1556
JÚLIO MARIA DE SOUSA,PREFEITO,2263
LUIZ ROSA DA SILVA,PREFEITO,1838
ANTONIO VICENTE DE SOUZA,PREFEITO,6449
ANDRE LUIZ COELHO MERLO,PREFEITO,106905
RONALDO JOSE MACHADO,PREFEITO,847
HAMILTON GONCALVES NASCIMENTO,PREFEITO,3824
ADAO VIEIRA FILHO,PREFEITO,6712
NELSON ALVES LARA,PREFEITO,3776
GUSTAVO CASTRO DE ANDRADE,PREFEITO,3744
FILOMENO AFONSO DE FIGUEIREDO,PREFEITO,3860
PAULO CESAR SANTOS NEVES,PREFEITO,2956
LAÉRCIO CINTRA NOGUEIRA,PREFEITO,7116
JOSE MAURICIO DE SALES,PREFEITO,1390
EDGAR JOSÉ DE LIMA,PREFEITO,3752
JARBAS CORREA FILHO,PREFEITO,14621
SORAIA VIEIRA DE QUEIROZ,PREFEITO,3208
ADILIO ALEX DOS REIS,PREFEITO,2742
ARI LUCAS DE PAULA SANTOS,PREFEITO,3235
WENDER LUCIANO DE ARAUJO SILVA,PREFEITO,2780
ALEX LEOPOLDINO DE LIMA,PREFEITO,3198
JOSÉ CARLOS DE BARROS,PREFEITO,3957
JOSÉ FRANCISCO RODRIGUES  DE ALMEIDA,PREFEITO,2520
LARRAVARDIERIE BATISTA CORDEIRO,PREFEITO,2207
ORIVALDO ALVES DE OLIVEIRA,PREFEITO,2410
ANTÔNIO LINDENBERG GARCIA,PREFEITO,2905
WILLIAM PARREIRA DUARTE,PREFEITO,39060
JOSE TARCISO RAYMUNDO,PREFEITO,1423
FRANCISCO ANTÔNIO PEREIRA,PREFEITO,1582
MARLENE APARECIDA DE SOUZA SILVA,PREFEITO,7015
JAMES VELOSO ALMEIDA,PREFEITO,3294
CARLOS ALBERTO DA SILVA,PREFEITO,11422
RENATO DE FARIA GUIMARAES,PREFEITO,3425
IVONE RODRIGUES LEITE,PREFEITO,3547
FABIANO DA SILVA MORETI,PREFEITO,2992
EDVALDO BELINELLI,PREFEITO,3028
MARCOS ANTONIO DO CARMO,PREFEITO,2713
DECIO BONAMICHI,PREFEITO,2914
JOSÉ SIVIRINO DA SILVA,PREFEITO,2419
LINDOMAR AMARO BORGES,PREFEITO,2624
JOAO PAULO LEITE,PREFEITO,1334
MARCIO ELIAS DE LIMA E SANTOS,PREFEITO,8606
GERALDO CUSTODIO SILVA JUNIOR,PREFEITO,2384
RAFAEL DOTTI DE CARVALHO,PREFEITO,3692
GERALDO DOS REIS NEVES,PREFEITO,4875
WALTER PAULO DE OLIVEIRA,PREFEITO,6714
SEBASTIÃO DE BARROS QUINTÃO,PREFEITO,68810
LEANDRO LUIZ DE OLIVEIRA,PREFEITO,1612
JOSÉ DIAS DE MELO,PREFEITO,3786
ANTONINHO DALL AGNOL,PREFEITO,2673
RONALDO LAGE MAGALHÃES,PREFEITO,30018
EDMO CESAR FELICIANO REIS,PREFEITO,4304
ORLANDO AMORIM CALDEIRA,PREFEITO,25214
JOAO MANOEL RIBEIRO,PREFEITO,2342
NIVEA MARIA DE OLIVEIRA,PREFEITO,4876
GERALDO DONIZETE DE LIMA,PREFEITO,4979
ALEXSANDER RODRIGUES BATISTA,PREFEITO,3203
RODRIGO IMAR MARTINEZ RIERA,PREFEITO,29531
LUIZ FERNANDO ALVES,PREFEITO,6850
HAMILTON DE MOURA FILHO,PREFEITO,1685
HENRIQUE LUIZ DA MOTA SCOFIELD,PREFEITO,6519
JOSE ELISIO DE OLIVEIRA DUARTE,PREFEITO,1492
RONALDO PEREIRA DIAS,PREFEITO,2792
ALEXANDRE AUGUSTO MOREIRA SANTOS,PREFEITO,5100
EVALDO RIBEIRO DE BARROS,PREFEITO,4898
RAIMUNDO FRANCISCO PENAFORTE,PREFEITO,6191
CHARLES VIEIRA DA COSTA,PREFEITO,7064
BENICE NERY MAIA,PREFEITO,4280
WIRLEY RODRIGUES REIS,PREFEITO,7890
CLAUDIA VIVEANI DE MORAES,PREFEITO,3285
MATARAZO JOSÉ DA SILVA,PREFEITO,5423
JOSÉ FLAVIANO,PREFEITO,2366
RONILTON GOMES CINTRA,PREFEITO,5201
NEIDER MOREIRA DE FARIA,PREFEITO,34606
ADHEMAR MARCOS FILHO,PREFEITO,4214
VALTER JOSÉ NICOLI,PREFEITO,2595
FUED JOSE DIB,PREFEITO,29388
GERALDO MAGNO DE RESENDE,PREFEITO,2268
ANDERSON BERNARDES DE OLIVEIRA,PREFEITO,13444
FABIANO RIBEIRO DO VALE,PREFEITO,1581
ENEIMAR ADRIANO MARQUES,PREFEITO,5802
LEONARDO AUGUSTO DE SOUZA,PREFEITO,4381
MELQUIADES DE ARAUJO,PREFEITO,7753
GERALDO MAGELA DA SILVA,PREFEITO,2781
JOSE JUNIO ANDRADE DE LIMA,PREFEITO,1390
