NM_VOTAVEL,DS_CARGO,ANO
LEANDRO ANDRADE GENARO OLIVEIRA,DEPUTADO ESTADUAL,2022
LEANDRO CASSIANO NEVES,DEPUTADO FEDERAL,2022
LEONARDO GOMES GIRUNDI,DEPUTADO FEDERAL,2022
LEONARDO SATLER GONÇALVES MOL,DEPUTADO FEDERAL,2022
LEONÍDIO HENRIQUE CORREA BOUÇAS,DEPUTADO ESTADUAL,2022
LINCOLN DINIZ PORTELA,DEPUTADO FEDERAL,2022
LINCOLN DRUMOND SOARES NETO,DEPUTADO ESTADUAL,2022
LIZA FERNANDES PRADO,DEPUTADO FEDERAL,2022
LOHANNA SOUZA FRANÇA MOREIRA DE OLIVEIRA,DEPUTADO ESTADUAL,2022
LORENE FIGUEIREDO DE OLIVEIRA,GOVERNADOR,2022
LOURDES FRANCISCO DA COSTA,GOVERNADOR,2022
LUCIANA OLIVEIRA DA SILVEIRA,DEPUTADO FEDERAL,2022
LUDIMILA FONSECA AZEVEDO FALCAO,DEPUTADO ESTADUAL,2022
LUIZ ADRIAN DE MORAES PAZ,DEPUTADO ESTADUAL,2022
LUIZ ANTONIO DA SILVA,DEPUTADO ESTADUAL,2022
LUIZ FERNANDO RAMOS FARIA,DEPUTADO FEDERAL,2022
LUIZ GONZAGA RIBEIRO,DEPUTADO FEDERAL,2022
LUIZA BORGES DULCI,DEPUTADO ESTADUAL,2022
MAKOTO EDISON SEKITA,DEPUTADO ESTADUAL,2022
MANOEL VESPÚCIO DA COSTA VASCONCELOS,DEPUTADO FEDERAL,2022
MARCELO CACIANO DA SILVA,DEPUTADO FEDERAL,2022
MARCELO EDUARDO FREITAS,DEPUTADO FEDERAL,2022
MARCELO FELIX ALVES DE ARAÚJO,DEPUTADO ESTADUAL,2022
MARCELO GUILHERME DE ARO FERREIRA,SENADOR,2022
MARCELO HENRIQUE TEIXEIRA DIAS,DEPUTADO FEDERAL,2022
MARCELO HERINGER,DEPUTADO ESTADUAL,2022
MARCELO PIRES RODRIGUES,DEPUTADO ESTADUAL,2022
MARCIA REGINA BRAGA DO CARMO,DEPUTADO FEDERAL,2022
MARCION FERREIRA DA SILVA,DEPUTADO ESTADUAL,2022
MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,GOVERNADOR,2022
MARIA APARECIDA SIQUEIRA,DEPUTADO FEDERAL,2022
MARIA CECILIA FIGUEIREDO OPIPARI,DEPUTADO FEDERAL,2022
MARIA CECÍLIA FERREIRA DELFINO,DEPUTADO FEDERAL,2022
MARIA CLARA MATOS MARRA,DEPUTADO ESTADUAL,2022
MARIA DIRLENE TRINDADE MARQUES,SENADOR,2022
MARIA GORETE RODRIGUES DE OLIVEIRA PAULA,DEPUTADO ESTADUAL,2022
MARIA HELENA ALVES PEREIRA,DEPUTADO ESTADUAL,2022
MARIEL MARLEY MARRA,DEPUTADO FEDERAL,2022
MARILENE ALVES DE SOUZA,DEPUTADO ESTADUAL,2022
MARIO KNICHALLA NETO,DEPUTADO ESTADUAL,2022
MARLI FERREIRA DA SILVA,DEPUTADO ESTADUAL,2022
MATUSALEM MEDEIRO DE ABREU,DEPUTADO ESTADUAL,2022
MAURICIO LUIZ DE SOUZA,DEPUTADO FEDERAL,2022
MICHELLY CAROLINE LUIZ PEREIRA DE SIQUEIRA,DEPUTADO FEDERAL,2022
MIGUEL ÂNGELO MONTEIRO ANDRADE,DEPUTADO FEDERAL,2022
MILTON DE FREITAS CARVALHO JUNIOR,DEPUTADO FEDERAL,2022
MOAMED RACHID GARIFF NOLETO DE QUEIROZ,DEPUTADO FEDERAL,2022
MOARA CORREA SABOIA,DEPUTADO ESTADUAL,2022
MURILO FERREIRA ALVES,DEPUTADO ESTADUAL,2022
Movimento Democrático Brasileiro,DEPUTADO ESTADUAL,2022
Movimento Democrático Brasileiro,DEPUTADO FEDERAL,2022
MÁRCIA MARIA PINHEIRO DOS SANTOS,DEPUTADO FEDERAL,2022
MÁRCIO RODRIGUES CORDEIRO,DEPUTADO FEDERAL,2022
MÁRIO LÚCIO HERINGER,DEPUTADO FEDERAL,2022
NAOMI DE ALMEIDA GOMES COURA,SENADOR,2022
