NM_MUNICIPIO,NM_VOTAVEL,DS_CARGO,QT_VOTOS,ELEITO
BOCAIÚVA,ROBERTO JAIRO TORRES,PREFEITO,10592,SIM (2020)
BOM DESPACHO,BERTOLINO DA COSTA NETO,PREFEITO,10389,SIM (2020)
BOM DESPACHO,HAROLDO DE SOUSA QUEIROZ,PREFEITO,4750,NAO
BOM DESPACHO,JOICE MARTINS SILVA QUIRINO,PREFEITO,9755,NAO
BOM DESPACHO,MAURÍCIO BOLINA REIS RIBEIRO,PREFEITO,1083,NAO
BOM JARDIM DE MINAS,JOAQUIM LAÉRCIO RODRIGUES,PREFEITO,2399,SIM (2020)
BOM JARDIM DE MINAS,SERGIO MARTINS,PREFEITO,2275,NAO
BOM JESUS DA PENHA,ADÊNIO SIQUEIRA DANZIGER,PREFEITO,1154,NAO
BOM JESUS DA PENHA,NEI ANDRÉ FREIRE,PREFEITO,1553,SIM (2020)
BOM JESUS DO AMPARO,JOAQUIM APARECIDO DOS SANTOS,PREFEITO,1197,NAO
BOM JESUS DO AMPARO,PEDRO DOS SANTOS MOREIRA,PREFEITO,2373,SIM (2020)
BOM JESUS DO GALHO,ANIBAL BORGES,PREFEITO,3657,SIM (2020)
BOM JESUS DO GALHO,JADIR JOSE DA SILVA,PREFEITO,2533,NAO
BOM JESUS DO GALHO,MARCO ANTONIO DIAS RASPANTE,PREFEITO,710,NAO
BOM JESUS DO GALHO,WILLIAN BATISTA DE CALAIS,PREFEITO,2760,NAO
BOM REPOUSO,EDELMO MARCONDES DA COSTA,PREFEITO,3326,NAO
BOM REPOUSO,EDMILSON ANDRADE,PREFEITO,3828,SIM (2020)
BOM SUCESSO,DAIANA LEILA DE FARIA,PREFEITO,1022,NAO
BOM SUCESSO,PORFÍRIO ROBERTO DA SILVA,PREFEITO,6051,SIM (2020)
BOM SUCESSO,WALTER BRAGA JÚNIOR,PREFEITO,3623,NAO
BONFIM,ALLAN PHILIPE PARREIRAS,PREFEITO,996,NAO
BONFIM,GUSTAVO MARQUES RIBEIRO,PREFEITO,3822,SIM (2020)
BONFIM,MARCOS LEANDRO PARREIRAS LIMA,PREFEITO,381,NAO
BONFINÓPOLIS DE MINAS,LÍVIA BEZERRA MATOS,PREFEITO,1579,NAO
BONFINÓPOLIS DE MINAS,MANOEL DA COSTA LIMA,PREFEITO,2097,SIM (2020)
BONFINÓPOLIS DE MINAS,NEUBIA FERNANDA REZENDE SILVA,PREFEITO,76,NAO
BONFINÓPOLIS DE MINAS,VANDERLEI CUSTÓDIO DA SILVA,PREFEITO,84,NAO
BONITO DE MINAS,DILSON BARBOSA SANTANA,PREFEITO,2991,NAO
BONITO DE MINAS,VANIA CARNEIRO DE CARVALHO,PREFEITO,3068,SIM (2020)
BORDA DA MATA,AFONSO RAIMUNDO DE SOUZA,PREFEITO,4285,SIM (2020)
BORDA DA MATA,ANDRE CARVALHO MARQUES,PREFEITO,4094,NAO
BORDA DA MATA,MOACIR DONIZETE DE CARVALHO,PREFEITO,778,NAO
BORDA DA MATA,VIVALDE RAIMUNDO DA SILVA,PREFEITO,218,NAO
BOTELHOS,ADILSON RODRIGUES DOS SANTOS,PREFEITO,1928,NAO
BOTELHOS,EDUARDO JOSE ALVES DE OLIVEIRA,PREFEITO,5209,SIM (2020)
BOTELHOS,MARCIONIL MOREIRA DA SILVA,PREFEITO,1790,NAO
BOTUMIRIM,ANA PEREIRA NETA,PREFEITO,1862,SIM (2020)
BOTUMIRIM,EDER LEANDRO LIMA RIOS,PREFEITO,1588,NAO
BOTUMIRIM,RERONDY WELITON BARROSO SANTANA,PREFEITO,493,NAO
BOTUMIRIM,ROGERIO ADRIANO BATISTA,PREFEITO,120,NAO
BRASILÂNDIA DE MINAS,ELIZANGELA LAURINDA DA CRUZ DOS SANTOS,PREFEITO,1257,NAO
BRASILÂNDIA DE MINAS,HUMBERTO PERES FERREIRA,PREFEITO,3757,NAO
BRASILÂNDIA DE MINAS,OSEIAS CARDOSO QUEIROZ,PREFEITO,3848,SIM (2020)
BRASILÂNDIA DE MINAS,VALDECI DA COSTA MADUREIRA,PREFEITO,120,NAO
BRASÍLIA DE MINAS,CELSO ALMEIDA FILHO,PREFEITO,188,NAO
BRASÍLIA DE MINAS,FRANK ALVES NERY,PREFEITO,414,NAO
BRASÍLIA DE MINAS,GEELISON FERREIRA DA SILVA,PREFEITO,7159,NAO
BRASÍLIA DE MINAS,LEONARDO RODRIGUES DA SILVA,PREFEITO,348,NAO
BRASÍLIA DE MINAS,MARCUS VINICIUS FERREIRA CARVALHO,PREFEITO,10766,SIM (2020)
BRASÍLIA DE MINAS,SANDRO GONÇALVES DE OLIVEIRA,PREFEITO,56,NAO
BRAZÓPOLIS,CARLOS ALBERTO MORAIS,PREFEITO,5567,SIM (2020)
BRAZÓPOLIS,JOÃO MAURO BERNARDO,PREFEITO,2462,NAO
BRAZÓPOLIS,SERGIO EMANUEL DE NORONHA MACHADO,PREFEITO,665,NAO
BRAÚNAS,JOVANI DUARTE MENEZES,PREFEITO,1770,SIM (2020)
BRAÚNAS,WEYNE VIRGILIO DE CARVALHO,PREFEITO,1601,NAO
BRUMADINHO,ANTONIO BRANDÃO,PREFEITO,5104,NAO
BRUMADINHO,AVIMAR DE MELO BARCELOS,PREFEITO,12683,SIM (2020)
BRUMADINHO,BRUNO JOHNY DOS SANTOS,PREFEITO,259,NAO
BRUMADINHO,CLAUDIO AUGUSTO TEIXEIRA,PREFEITO,600,NAO
BRUMADINHO,MARCIO ROBERTO LOPES DE SOUSA,PREFEITO,2665,NAO
BRUMADINHO,REINALDO DA SILVA FERNANDES,PREFEITO,957,NAO
BRÁS PIRES,DOMINGOS RIVELLI TEIXEIRA NOGUEIRA,PREFEITO,2188,SIM (2020)
